id,title,score,comments,time
46261884,Show HN: Stepped Actions – distributed workflow orchestration for Rails,63,9,2025-12-14 09:29:47
46317098,"We pwned X, Vercel, Cursor, and Discord through a supply-chain attack",1046,386,2025-12-18 19:08:48
46327791,AI will kill all the lawyers,7,3,2025-12-19 16:41:38
46319826,History LLMs: Models trained exclusively on pre-1913 texts,668,326,2025-12-18 22:39:47
46316907,How China built its ‘Manhattan Project’ to rival the West in AI chips,436,527,2025-12-18 18:55:34
46326472,AMD officially confirms fresh next-gen Zen 6 CPU details,71,52,2025-12-19 14:51:03
46328788,Gamers Are Overwhelmingly Negative About Gen AI in Video Games,12,3,2025-12-19 17:57:18
46294144,Show HN: Stop AI scrapers from hammering your self-hosted blog (using porn),333,248,2025-12-16 20:42:38
46316409,Firefox will have an option to disable all AI features,518,493,2025-12-18 18:18:30
46313379,Using TypeScript to obtain one of the rarest license plates,174,192,2025-12-18 15:00:32
