id,title,score,comments,time
46611348,Show HN: OSS AI agent that indexes and searches the Epstein files,50,14,2026-01-14 01:56:52
46610967,Sei (YC W22) Is Hiring a DevOps Engineer (India/In-Office/Chennai/Gurgaon),1,0,2026-01-14 01:01:12
46605490,AI generated music barred from Bandcamp,706,498,2026-01-13 18:31:50
46608840,We can't have nice things because of AI scrapers,358,187,2026-01-13 21:57:32
46600839,Confer – End to end encrypted AI chat,84,62,2026-01-13 13:45:45
46605587,"Let's be honest, Generative AI isn't going all that well",155,186,2026-01-13 18:37:55
46592424,Superhuman AI Exfiltrates Emails,98,26,2026-01-12 18:38:39
46612001,AI will compromise your cybersecurity posture,24,10,2026-01-14 03:35:35
46599341,Show HN: An iOS budget app I've been maintaining since 2011,148,56,2026-01-13 10:44:39
46598991,"FOSS in times of war, scarcity and (adversarial) AI [video]",148,102,2026-01-13 09:47:59
