id,title,score,comments,time
48550779,I admire Fabrice Bellard. He is almost certainly a better overall programmer,705,340,2026-06-16 04:58:15
48552687,"Feds freaked over Fable 5 after 'fix this code', not jailbreak, say researchers",440,271,2026-06-16 09:26:09
48556644,After AI Takes Everything,4,0,2026-06-16 15:20:05
48547566,Why I email complete strangers,203,92,2026-06-15 21:57:10
48542100,Ask HN: Has anyone replaced Claude/GPT with a local model for daily coding?,1213,509,2026-06-15 14:46:53
48543475,TinyWind: A pixel pirate sailing game with real wind physics (380k+ kms sailed),956,169,2026-06-15 16:15:53
