id,title,score,comments,time
46423290,Tesla's 4680 battery supply chain collapses as partner writes down deal by 99%,122,70,2025-12-29 17:57:03
46417815,"Show HN: Z80-μLM, a 'Conversational AI' That Fits in 40KB",397,90,2025-12-29 05:41:24
46415338,"As AI gobbles up chips, prices for devices may rise",281,425,2025-12-28 22:52:21
46417748,"Show HN: My not-for-profit search engine with no ads, no AI, & all DDG bangs",161,64,2025-12-29 05:25:25
46415129,Researchers discover molecular difference in autistic brains,192,115,2025-12-28 22:23:33
46420289,UK accounting body to halt remote exams amid AI cheating,143,134,2025-12-29 13:06:49
46414475,MongoBleed Explained Simply,235,107,2025-12-28 21:03:03
46418966,Asking Gemini 3 to generate Brainfuck code results in an infinite loop,92,84,2025-12-29 09:40:09
