id,title,score,comments,time
49338285,Fairphone 6 and PostmarketOS working main camera,140,31,2026-08-17 22:01:17
49331423,AI-Generated GitHub Copilot “Autofix” Allowed Compromise of Snowflake's Jira,354,138,2026-08-17 14:18:38
49329575,"GPT 5.6 Sol is the best ""vision"" model OpenAI ever released",328,158,2026-08-17 12:09:42
49334409,An update on leaving Gmail for Fastmail,182,123,2026-08-17 17:15:20
49337392,Israel creates fake think tank in likely attempt to dupe AI chatbots,350,220,2026-08-17 20:46:10
49336573,AI;DR (AI; Didn't Read),781,495,2026-08-17 19:47:15
49331220,How to disable or avoid intrusive AI,282,165,2026-08-17 14:07:56
49339097,Repair Cafe – Fix Your Broken Items,82,11,2026-08-17 23:28:28
49332751,Launch HN: Speko (YC S26) – OpenRouter for Voice AI,99,58,2026-08-17 15:36:18
49295179,A simple fix for LLM tail latency,47,17,2026-08-14 05:58:16
49325789,On AI regulation and messaging,239,509,2026-08-17 01:59:56
49339599,"Google wins bankruptcy auction for Spirit Airlines emails, chats, documents",66,27,2026-08-18 00:29:15
49338139,My friends all hate AI; I just joined an AI startup,40,119,2026-08-17 21:47:30
