id,title,score,comments,time
47470773,Tinybox – Offline AI device 120B parameters,430,259,2026-03-21 20:08:37
47450142,Trivy ecosystem supply chain briefly compromised,55,20,2026-03-20 03:30:07
47467913,"Thinking Fast, Slow, and Artificial: How AI Is Reshaping Human Reasoning",121,68,2026-03-21 15:30:29
47415179,The paddle wheel aircraft carriers of Lake Michigan,73,6,2026-03-17 16:48:51
47453414,Training Center for Maneuvering on Manned Model Ships,5,0,2026-03-20 12:04:49
47460525,OpenCode – Open source AI coding agent,1207,595,2026-03-20 21:03:52
47464818,"Blocking Internet Archive Won't Stop AI, but Will Erase Web's Historical Record",513,140,2026-03-21 07:30:16
47471943,The Impact of AI on Game Dev Jobs. Open to Work Crisis,72,56,2026-03-21 22:03:05
47467300,A pig's brain has been frozen with its cellular activity locked in place,112,161,2026-03-21 14:22:48
47470658,"Hawaii's worst flooding in 20 years threatens dam, prompts evacuations",69,34,2026-03-21 19:55:23
