id,title,score,comments,time
46544454,IBM AI ('Bob') Downloads and Executes Malware,13,1,2026-01-08 18:19:09
46543933,Chinese AI models have lagged the US frontier by 7 months on average since 2023,24,17,2026-01-08 17:40:02
46531925,Tailscale state file encryption no longer enabled by default,339,132,2026-01-07 20:16:50
46544016,Nvidia Kicks Off the Next Generation of AI with Rubin,10,1,2026-01-08 17:45:54
46544276,He was called a 'terrorist sympathizer.' Now his AI company is valued at $3B,18,1,2026-01-08 18:05:02
46531565,Notion AI: Unpatched data exfiltration,192,33,2026-01-07 19:49:54
