id,title,score,comments,time
46862170,xAI joins SpaceX,477,1071,2026-02-02 21:51:22
46864120,Firefox Getting New Controls to Turn Off AI Features,77,31,2026-02-02 23:54:02
46858873,Advancing AI Benchmarking with Game Arena,110,47,2026-02-02 17:49:07
46782692,Training a trillion parameter model to be funny,17,12,2026-01-27 16:58:05
46858577,Todd C. Miller – Sudo maintainer for over 30 years,301,177,2026-02-02 17:25:26
46865275,Banning lead in gas worked. The proof is in our hair,10,1,2026-02-03 01:52:21
46864517,GitHub discusses giving maintainers control to disable PRs,21,4,2026-02-03 00:30:02
46860964,Nvidia shares are down after report that its OpenAI investment stalled,110,47,2026-02-02 20:25:41
46859118,EPA Advances Farmers' Right to Repair,161,66,2026-02-02 18:07:55
46859438,Parking lots as economic drains,135,154,2026-02-02 18:31:28
46858966,Show HN: PolliticalScience – Anonymous daily polls with 24-hour windows,22,36,2026-02-02 17:55:11
