id,title,score,comments,time
48942603,In-toto: A framework to secure the integrity of software supply chains,11,0,2026-07-17 02:00:38
48947825,The state of open source AI,424,303,2026-07-17 14:31:10
48952880,"Kaiser nurses say AI, surveillance are making their jobs and patient care worse",489,310,2026-07-17 22:26:30
48951780,Painting the sides of railroad rails white to reduce derailment,85,45,2026-07-17 20:12:59
48952439,"FAA lets Boeing sign off on 737 MAX, 787 airworthiness certificates again",171,98,2026-07-17 21:22:53
48947714,AI Meets Cryptography 2: What AI Found in OpenVM's ZkVM,92,6,2026-07-17 14:21:35
48946303,Apple targets dozens of OpenAI employees with legal letters,390,336,2026-07-17 12:02:39
48952939,Texas wins court order to suspend domain name for violating age-verification law,172,200,2026-07-17 22:35:55
