id,title,score,comments,time
48513728,Shepherd's Dog: A Game by the Most Dangerous AI Model,81,64,2026-06-13 05:44:46
48511908,Open source AI must win,882,275,2026-06-13 02:14:24
48510341,Show HN: Putt.day a daily mini golf game,168,73,2026-06-12 22:56:06
48514124,Show HN: Skill for your agent to visualize your gbrain and Obsidian,6,1,2026-06-13 06:43:42
48467697,"Tectonic: A modernized, complete, self-contained TeX/LaTeX engine",52,18,2026-06-09 21:00:39
48504912,Slightly reducing the sloppiness of AI generated front end,193,120,2026-06-12 14:48:38
48509182,Palantir loses legal challenge against Swiss investigative magazine,337,67,2026-06-12 20:39:36
48493512,There Is Life Before Main in Rust,79,21,2026-06-11 17:32:35
48500012,AI agent bankrupted their operator while trying to scan DN42,1414,514,2026-06-12 04:42:53
48446673,How Terry Tao became an evangelist for AI in math,173,158,2026-06-08 15:30:09
