id,title,score,comments,time
49713999,Cartesian – AI 3D Modeling for Design,32,19,2026-09-15 15:26:45
49713261,What we have learned at OpenShell applying formal methods to control AI agents,9,3,2026-09-15 14:40:05
49710253,Suspected sabotage causes major Netherlands rail disruption,345,337,2026-09-15 10:22:46
49712746,"Global bond yields hit 2008 highs, raising stakes for big borrowers",121,118,2026-09-15 14:07:01
49711240,OpenAI buys smartphone camera maker Glass Imaging for $300M,108,74,2026-09-15 12:01:31
49712416,AI is breaking our proxies for expertise,65,45,2026-09-15 13:41:55
49712891,Show HN: Loss. a tiny satire about AI progress,11,2,2026-09-15 14:16:44
49697477,Dropping eBPF CPU Cost by About 90% with Memoization (Not AI Gen),148,29,2026-09-14 14:29:23
49712719,German companies rely almost exclusively on AI models and services from the USA,16,18,2026-09-15 14:05:42
49713132,OpenAI Wants to Know If an AI Industry Slowdown Would Even Be Legal,10,3,2026-09-15 14:31:43
