id,title,score,comments,time
47554773,AI overly affirms users asking for personal advice,366,291,2026-03-28 14:08:33
47557166,"Further human + AI + proof assistant work on Knuth's ""Claude Cycles"" problem",7,0,2026-03-28 18:38:59
47552562,CERN uses ultra-compact AI models on FPGAs for real-time LHC data filtering,246,118,2026-03-28 08:06:19
47555090,Folk are getting dangerously attached to AI that always tells them they're right,185,139,2026-03-28 14:49:25
47553796,Toma (YC W24) is hiring a Senior/Staff Eng to build AI automotive coworkers,1,0,2026-03-28 12:01:07
47518568,Paper Tape Is All You Need – Training a Transformer on a 1976 Minicomputer,96,17,2026-03-25 15:20:08
47543167,Iran-linked hackers breach FBI director's personal email,390,490,2026-03-27 14:38:28
47555093,Show HN: We built a multi-agent research hub. The waitlist is a reverse-CAPTCHA,14,12,2026-03-28 14:49:30
47555814,Militarized snowflakes: The accidental beauty of Renaissance star forts,31,4,2026-03-28 16:02:59
47556116,Wikipedia bans AI-generated content in its online encyclopedia,12,0,2026-03-28 16:34:04
