id,title,score,comments,time
48965850,OpenAI reduces Codex Model Context Size from 372k to 272k,237,104,2026-07-19 07:54:39
48969291,Moonshot AI suspends new subscriptions due to Kimi K3 demand,73,17,2026-07-19 16:02:25
48968348,"Clever hacker fits 537,000 domains in a $5 ESP32 ad-blocking dongle",55,20,2026-07-19 14:07:07
48962983,NYC may require landlords and realtors to disclose the use of AI in listings,554,256,2026-07-18 22:13:39
48964185,AI Mania Is Eviscerating Global Decision-Making,355,197,2026-07-19 01:29:19
