id,title,score,comments,time
47111440,We hid backdoors in ~40MB binaries and asked AI + Ghidra to find them,140,55,2026-02-22 14:50:44
47111400,Man accidentally gains control of 7k robot vacuums,109,62,2026-02-22 14:44:42
47100232,"zclaw: personal AI assistant in under 888 KB, running on an ESP32",241,130,2026-02-21 12:37:52
47101171,CXMT has been offering DDR4 chips at about half the prevailing market rate,250,253,2026-02-21 14:32:16
47112431,"Amazon, Meta, Alphabet report plunging tax bills thanks to AI and tax changes",11,6,2026-02-22 16:38:42
47103136,Toyota’s hydrogen-powered Mirai has experienced rapid depreciation,167,437,2026-02-21 18:09:24
47098582,AI uBlock Blacklist,269,114,2026-02-21 08:10:49
