id,title,score,comments,time
49272832,Tailscale Traces Database Corruption to 16y/o SQLite WAL-Reset Bug,505,80,2026-08-12 14:22:30
49272569,"Someone is running mass vulnerability scans, spoofing AI bots like ClaudeBot",148,93,2026-08-12 14:02:46
49275385,SpaceXAI's Grok 4.6 Scores 61 on the Artificial Analysis Intelligence Index,173,146,2026-08-12 16:54:25
49271994,AI is removing the middle class of software engineering,487,405,2026-08-12 13:20:05
49274858,We just raised $400M in Series C,39,24,2026-08-12 16:20:34
49270621,Delphi 13 Community Edition Is Now Available,132,92,2026-08-12 11:13:36
49274420,SpaceXAI: Grok 4.6,15,0,2026-08-12 15:55:09
49194856,High-Res Photo Shows Sand-Capped Butte Rising from Mars Plain of Polygons,135,11,2026-08-06 10:29:50
49269090,Launch HN: Discovered Materials (YC P26) – AI agents to discover new materials,56,18,2026-08-12 07:51:20
49272620,German advocacy group lodges criminal complaint over Meta AI glasses,87,36,2026-08-12 14:06:03
49265879,US hires over 2k video gamers as air traffic controllers,183,143,2026-08-11 23:26:17
