id,title,score,comments,time
49272832,Tailscale Traces Database Corruption to 16y/o SQLite WAL-Reset Bug,813,147,2026-08-12 14:22:30
49280184,Show HN: Ballet – Workflow automation that writes integrations against any API,17,2,2026-08-13 00:01:43
49269090,Launch HN: Discovered Materials (YC P26) – AI agents to discover new materials,116,22,2026-08-12 07:51:20
49272569,"Someone is running mass vulnerability scans, spoofing AI bots like ClaudeBot",236,173,2026-08-12 14:02:46
49227709,Waits: Arthur Samuel's Checkers,5,0,2026-08-09 01:59:54
49274858,Lovable raises $400M Series C,97,94,2026-08-12 16:20:34
49271994,AI is removing the middle class of software engineering?,735,666,2026-08-12 13:20:05
49194856,High-Res Photo Shows Sand-Capped Butte Rising from Mars Plain of Polygons,155,17,2026-08-06 10:29:50
49280945,Anthropic in Talks to Buy World Model AI Startup Decart for $6B,5,0,2026-08-13 01:50:27
49270621,Delphi 13 Community Edition Is Now Available,166,122,2026-08-12 11:13:36
