id,title,score,comments,time
47020191,I love the work of the ArchWiki maintainers,558,100,2026-02-15 01:20:58
47015294,My smart sleep mask broadcasts users' brainwaves to an open MQTT broker,488,219,2026-02-14 15:35:47
47020791,Guitars of the USSR and the Jolana Special in Azerbaijani Music (2012),59,8,2026-02-15 03:29:39
47017138,News publishers limit Internet Archive access due to AI scraping concerns,517,315,2026-02-14 18:46:32
47012553,OpenAI should build Slack,187,213,2026-02-14 07:50:13
46960305,Constraint Propagation for Fun,3,0,2026-02-10 14:43:16
46965462,Fun with Algebraic Effects – From Toy Examples to Hardcaml Simulations,73,1,2026-02-10 19:27:33
47009949,An AI agent published a hit piece on me – more things have happened,692,571,2026-02-14 00:37:53
47009327,IBM tripling entry-level jobs after finding the limits of AI adoption,351,225,2026-02-13 23:34:09
