id,title,score,comments,time
48395938,UK media fails to disclose defence sector links in nearly 60% of cases,54,24,2026-06-04 08:45:36
48392004,"Failing grades soar with AI usage, dwindling math skills in Berkeley CS classes",297,224,2026-06-04 00:18:02
48392082,The ways we contain Claude across products,127,57,2026-06-04 00:27:52
48383056,"Uber's $1,500/month AI limit is a useful signal for AI tool pricing",485,608,2026-06-03 12:25:14
48382052,Mathematicians issue warning as AI rapidly gains ground,239,273,2026-06-03 10:05:48
48387095,Launch HN: Hyper (YC P26) – Company brain to power agentic development,68,61,2026-06-03 17:39:53
48389586,"Show HN: Mnemo – local-first AI memory layer for any LLM (Rust, SQLite,petgraph)",43,17,2026-06-03 20:32:10
48353477,How turkey hacked the hair-transplant industry,118,181,2026-06-01 07:02:23
48383241,32GB of DDR5 now costs $375 – AI shortage continues to squeeze PC building,400,359,2026-06-03 12:43:43
