id,title,score,comments,time
49827794,Meta takes down a critical video about meta AI Glasses after filming at Meta,194,77,2026-09-24 08:23:03
49826565,Early rogue AI agent activity and attempts to hack found on urlquery.net,148,121,2026-09-24 05:21:10
49825580,"OpenAI agent hacked Australian government website, PM says",84,45,2026-09-24 02:44:48
49828133,AI has no intent and no motivation,36,39,2026-09-24 09:13:25
49819880,Making Tailscale Faster,176,69,2026-09-23 17:49:07
49820267,Cloud Agents Are Inevitable AI Prisons,60,137,2026-09-23 18:16:41
49822556,"OpenAI breaches Medicare, Albanese reveals",216,241,2026-09-23 21:01:48
49827376,"Nuros – AI study tools from notes, PDFs, videos, and links",5,0,2026-09-24 07:22:20
49815466,I don't want the details,410,212,2026-09-23 13:04:44
49824686,"Feds Target AI Critics as ""Foreign Agents""",299,312,2026-09-24 00:41:31
