id,title,score,comments,time
49434378,OpenAI Jalapeño: Better than Nvidia Blackwell,427,281,2026-08-25 14:06:02
49441666,"Maiao: Gerrit-style code review workflow for GitHub, GitLab, Gitea, others",63,33,2026-08-25 22:40:07
49441375,"Show HN: TeXbrain, a LaTeX editor that runs pdfTeX in the browser via WASM",76,16,2026-08-25 22:08:50
49435675,Show HN: I made a Raspberry with Qwen my local car AI,127,35,2026-08-25 15:20:20
49437566,Clara (YC P26) is hiring a growth engineer to bring AI doctors to market,1,0,2026-08-25 17:28:52
49411800,Training AI to Paint with Code,201,23,2026-08-23 19:39:29
49421158,MS Paint and Photos inivisibly watermark even locally generated output with GUID,844,426,2026-08-24 15:28:04
